Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
[Experience of tracheotomy for critical patients with COVID-19: a case report],"Dong, C. G.; Kang, X. W.; Lu, X.; Zhang, S. J.; Chen, X. B.; Zheng, H.; Sun, F. F.; Ma, J. Y.",,2020,,Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,55,0,E008-E008,,10.3760/cma.j.cn115330-20200229-00142,45161,#42019,Dong 2020,,,42019,09-04-20
New Biophysical Approaches Reveal the Dynamics and Mechanics of Type I Viral Fusion Machinery and Their Interplay with Membranes,"Benhaim, Mark A.; Lee, Kelly K.","Protein-mediated membrane fusion is a highly regulated biological process essential for cellular and organismal functions and infection by enveloped viruses. During viral entry the membrane fusion reaction is catalyzed by specialized protein machinery on the viral surface. These viral fusion proteins undergo a series of dramatic structural changes during membrane fusion where they engage, remodel, and ultimately fuse with the host membrane. The structural and dynamic nature of these conformational changes and their impact on the membranes have long-eluded characterization. Recent advances in structural and biophysical methodologies have enabled researchers to directly observe viral fusion proteins as they carry out their functions during membrane fusion. Here we review the structure and function of type I viral fusion proteins and mechanisms of protein-mediated membrane fusion. We highlight how recent technological advances and new biophysical approaches are providing unprecedented new insight into the membrane fusion reaction.",2020,,"Viruses 2020, Vol. 12, Page 413",12,4,413-413,,10.3390/V12040413,45237,#42020,Benhaim 2020,,,42020,09-04-20
Emergence of deadly severe acute respiratory syndrome coronavirus-2 during 2019–2020,"Islam, Arshi; Ahmed, Anwar; Naqvi, Irshad H.; Parveen, Shama","Wuhan, the city in Hubei province in China is in the focus of global community due to the outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), formerly known as 2019-nCoV. The virus emerged in humans from Wuhan seafood market probably via zoonotic transmission. Within a few days the virus spread its tentacles rapidly to neighboring cities in China and to different geographical regions through travelers and to some extent by human to human transmission leading to significant disease burden globally. More than 2,00,000 people (including more than 8000 deaths) have been infected with this respiratory illness across 167 countries and territories worldwide leading to a pandemic. The present review provides an outline about emergence and spread of SARS-CoV-2 from Wuhan, China in 2019–2020. We have also provided information about the classification, genome, proteins, clinical presentation of COVID-19, type of clinical specimens to be collected and diagnostic methods adopted to identify the respiratory illness. In addition we have also provided information about transmission dynamics, prevention measures and treatment options that are available at the present. Subsequently, we have given a comprehensive overview of the spread of this infection from China to the other parts of the globe. Management of the ongoing outbreak of SARS-CoV-2 encompassing surveillance, clinical, immunological, genetic and evolutionary investigations are likely to provide the desired results. Joint efforts of global scientific community are needed at this hour in terms of enhancement of research on development of accurate diagnostics, antiviral therapeutics and finally into formation of an effective vaccine against the emerging novel coronavirus.",2020,,VirusDisease,,,01-Sep,,10.1007/s13337-020-00575-1,45218,#42021,Islam 2020,,,42021,09-04-20
Intrauterine vertical transmission of SARS-CoV-2: what we know so far,"Wang, Chen; Zhou, Yi-Hua; Yang, Hui-Xia; Poon, Liona C.",,2020,,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,,,,,10.1002/uog.22045,45130,#42022,Wang 2020,,,42022,09-04-20
ISUOG Consensus Statement on rationalization of gynecological ultrasound services in context of SARS-CoV-2,"Bourne, T.; Leonardi, M.; Kyriacou, C.; Al-Memar, M.; Landolfo, C.; Cibula, D.; Condous, G.; Metzger, U.; Fischerova, D.; Timmerman, D.; van den Bosch, T.",,2020,,Ultrasound in Obstetrics & Gynecology,n/a,n/a,,,10.1002/uog.22047,45190,#42023,Bourne 2020,,,42023,09-04-20
ISUOG Consensus Statement on rationalization of early-pregnancy care and provision of ultrasonography in context of SARS-CoV-2,"Bourne, T.; Kyriacou, C.; Coomarasamy, A.; Al-Memar, M.; Leonardi, M.; Kirk, E.; Landolfo, C.; Blanchette-Porter, M.; Small, R.; Condous, G.; Timmerman, D.",,2020,,Ultrasound in Obstetrics & Gynecology,n/a,n/a,,,10.1002/uog.22046,45189,#42024,Bourne 2020,,,42024,09-04-20
Noncanonical Functions of Antibodies,"Dimitrov, Jordan D.; Lacroix-Desmazes, Sébastien","<p>The typical functions of antibodies are based on linking the process of antigen recognition with initiation of innate immune reactions. With the introduction of modern research technologies and the use of sophisticated model systems, recent years have witnessed the discovery of a number of noncanonical functions of antibodies. These functions encompass either untypical strategies for neutralization of pathogens or exertion of activities that are characteristic for other proteins (cytokines, chaperones, or enzymes). Here, we provide an overview of the noncanonical functions of antibodies and discuss their mechanisms and implications in immune regulation and defense. A better comprehension of these functions will enrich our knowledge of the adaptive immune response and shall inspire the development of novel therapeutics.</p>",2020,,Trends in Immunology,0,0,,,10.1016/j.it.2020.03.006,45024,#42026,Dimitrov 2020,,,42026,09-04-20
Let's conquer COVID-19 and sustain our abilities,"Alexander, Marcalee",,2020,,Spinal cord series and cases,6,1,19-19,,10.1038/s41394-020-0271-z,45142,#42027,Alexander 2020,,,42027,09-04-20
Important Steps to Control COVID-19/SARS-CoV-2 Infection,"Chatterjee, Sudipto","Elderly patients are having high mortality rates from COVID-19/SARS-CoV-2 infection compared to younger patients. The SARS-CoV-2 virus uses the ACE2 receptor as the entry point to the host cells. ARBs/ACEIs which are widely used in elderly patients, have been found to be associated with overexpression of ACE2.To decrease the severity of COVID-19 infection, ARB/ACEI should be switched to another class drug not known to cause a rise in ACE2 until the COVID-19 infection subsides. Specific human immunoglobulin can be tried for COVID-19 patients with critical conditions under supervision.",2020,,SN Comprehensive Clinical Medicine,,,01-Feb,,10.1007/s42399-020-00271-7,45216,#42029,Chatterjee 2020,,,42029,09-04-20
Epidemiology of Coronavirus Disease Outbreak: The Italian Trends,"Abenavoli, Ludovico; Cinaglia, Pietro; Luzza, Francesco; Gentile, Ivan; Boccuto, Luigi",,2020,,Reviews on recent clinical trials,,,,,10.2174/1574887115999200407143449,45160,#42031,Abenavoli 2020,,,42031,09-04-20
